Date,Counting_from_August,Confirmed Cases,Recovered Cases,Deceased Cases
01/01/22,1,17521,1146913,37408
02/01/22,2,180443,1187268,38168
03/01/22,3,1855331,1230338,38974
04/01/22,4,1906613,1281558,39823
05/01/22,5,1963239,1327141,40742
06/01/22,6,2025409,1377282,41641
07/01/22,7,2086864,1427669,42577
08/01/22,8,2152020,1479804,43452
09/01/22,9,2214137,1534278,44465
10/01/22,10,2267153,1581640,45352
11/01/22,11,2328405,1638101,46187
12/01/22,12,2395471,1695860,47137
13/01/22,13,2459612,1750636,48143
14/01/22,14,2525222,1807556,49132
15/01/22,15,2589208,1860672,50084
16/01/22,16,2647304,1918076,51036
17/01/22,17,2701602,1976248,51916
18/01/22,18,2766626,2036703,53015
19/01/22,19,2835822,2096068,53994
20/01/22,20,2904340,2157941,54975
21/01/22,21,2973369,2220799,55928
22/01/22,22,3043436,2279900,56846
23/01/22,23,3105185,2336796,57692
24/01/22,24,3164881,2403101,58546
25/01/22,25,3231754,2467252,59612
26/01/22,26,3307749,2523443,60629
27/01/22,27,3384576,2583063,61695
28/01/22,28,3461233,2647538,62714
29/01/22,29,3539712,2712520,63657
30/01/22,30,3619173,2772942,64617
31/01/22,31,3687939,2837377,65434
01/02/22,32,3766108,2899522,66460
02/02/22,33,3848968,2967396,67486
03/02/22,34,3933124,3034887,68569
04/02/22,35,4020239,3104512,69635
05/02/22,36,4110839,3177673,70679
06/02/22,37,4202562,3247297,71687
07/02/22,38,4277584,3321420,72816
08/02/22,39,4367436,3396027,73923
09/02/22,40,4462965,3469084,75091